zone,month,zone_disruption_freq,flood_risk,fog_risk,heat_risk,aqi_base,month_risk,weather_severity,aqi_level,traffic_disruption,worker_tenure_weeks,worker_claim_ratio,risk_score,weekly_premium_inr
Shahdara,9,0.4,0.65,0.6,0.72,0.85,0.6,0.335,0.4374,0.1156,92,0.1796,0.5185,69.74
Janakpuri,7,0.3,0.4,0.6,0.68,0.76,0.7,0.3408,0.4102,0.0874,50,0.08,0.3338,62.35
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.3564,0.4223,0.1977,30,0.6065,0.6194,73.78
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.2711,0.2343,0.1291,62,0.513,0.3431,62.72
Noida Sector 18,7,0.3,0.45,0.58,0.7,0.74,0.7,0.4773,0.6789,0.1793,102,0.3673,0.5779,72.12
Vasant Kunj,9,0.22,0.3,0.48,0.65,0.68,0.6,0.3164,0.4428,0.1274,71,0.1735,0.3588,63.35
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.5355,0.5544,0.0661,55,0.1779,0.5413,70.65
Noida Sector 18,12,0.3,0.45,0.58,0.7,0.74,0.75,0.8641,0.6813,0.0444,87,0.0935,0.8049,81.2
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.5281,0.8135,0.0817,3,0.132,0.7519,79.08
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.5159,0.8213,0.0323,104,0.2579,0.6236,73.94
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.851,0.6055,0.0521,75,0.0076,0.6427,74.71
Saket,11,0.25,0.35,0.5,0.65,0.7,0.8,0.733,0.7203,0.1189,80,0.0673,0.6277,74.11
Lajpat Nagar,9,0.32,0.45,0.5,0.68,0.75,0.6,0.6865,0.5598,0.0528,25,0.1181,0.568,71.72
Janakpuri,7,0.3,0.4,0.6,0.68,0.76,0.7,0.3778,0.4099,0.0998,32,0.4678,0.5227,69.91
Lajpat Nagar,6,0.32,0.45,0.5,0.68,0.75,0.8,0.5761,0.4815,0.1163,66,0.2596,0.6075,73.3
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.4932,0.7574,0.0576,98,0.1383,0.6145,73.58
Karol Bagh,7,0.33,0.42,0.55,0.72,0.82,0.7,0.3154,0.3236,0.0393,26,0.4557,0.4705,67.82
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.1452,0.2119,0.0632,71,0.1754,0.2278,58.11
Rohini,12,0.35,0.5,0.7,0.72,0.8,0.75,0.2901,0.3411,0.206,32,0.3486,0.563,71.52
Karol Bagh,1,0.33,0.42,0.55,0.72,0.82,0.7,0.6772,0.4067,0.0433,94,0.075,0.4579,67.32
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.3887,0.5798,0.041,61,0.1697,0.4634,67.54
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.7553,0.4081,0.1376,44,0.0281,0.5736,71.94
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.5424,0.5003,0.0225,104,0.1239,0.5069,69.28
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.3029,0.4823,0.0396,15,0.0729,0.4143,65.57
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.9292,0.3985,0.0838,43,0.5207,0.7167,77.67
Karol Bagh,11,0.33,0.42,0.55,0.72,0.82,0.8,0.7484,0.7024,0.0608,71,0.3892,0.6966,76.86
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.4243,0.4085,0.1866,42,0.3017,0.3351,62.41
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.7102,0.2682,0.0538,15,0.0691,0.4178,65.71
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.1751,0.8238,0.0347,31,0.1813,0.4493,66.97
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.7802,0.5864,0.2429,91,0.0574,0.7393,78.57
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.7455,0.437,0.0391,19,0.1479,0.6264,74.05
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.2653,0.6306,0.1901,67,0.0635,0.3558,63.23
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.5747,0.4305,0.092,15,0.2144,0.4495,66.98
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.3602,0.5598,0.1789,47,0.2047,0.513,69.52
Shahdara,8,0.4,0.65,0.6,0.72,0.85,0.75,0.6912,0.3699,0.1118,43,0.1172,0.5377,70.51
Lajpat Nagar,9,0.32,0.45,0.5,0.68,0.75,0.6,0.7841,0.6213,0.1682,14,0.209,0.6271,74.08
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.3619,0.3849,0.0251,82,0.0462,0.4182,65.73
Gurugram Sector 29,3,0.28,0.5,0.55,0.68,0.72,0.2,0.12,0.414,0.1012,30,0.0946,0.2281,58.13
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.2291,0.558,0.149,61,0.2247,0.3957,64.83
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.5181,0.3396,0.0554,30,0.1217,0.4048,65.19
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.4967,0.4646,0.1356,44,0.2252,0.6863,76.45
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.5252,0.4984,0.2223,5,0.4328,0.5969,72.88
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.2228,0.8782,0.1606,26,0.1436,0.6087,73.35
Connaught Place,12,0.28,0.3,0.55,0.7,0.72,0.75,0.8299,0.8132,0.0976,16,0.0379,0.7765,80.06
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.5135,0.9603,0.1988,69,0.0605,0.7599,79.4
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.5386,0.4335,0.1494,64,0.1711,0.4737,67.95
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.1309,0.2248,0.068,25,0.1592,0.2623,59.49
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.4304,0.5136,0.1387,4,0.16,0.5061,69.24
Vasant Kunj,5,0.22,0.3,0.48,0.65,0.68,0.75,0.6695,0.2188,0.0247,36,0.0225,0.466,67.64
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.4258,0.4939,0.0245,50,0.0229,0.5106,69.43
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.3216,0.6545,0.0634,7,0.3119,0.486,68.44
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.2306,0.2931,0.0959,62,0.1254,0.3847,64.39
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.6676,0.3773,0.2027,48,0.3837,0.6191,73.76
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.4352,0.5499,0.0339,26,0.3433,0.6216,73.86
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.1951,0.4242,0.1824,43,0.2403,0.4242,65.97
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.525,0.4854,0.1203,104,0.0737,0.5312,70.25
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.7435,0.656,0.1456,101,0.3138,0.6903,76.61
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.2574,0.3635,0.049,48,0.2339,0.2577,59.31
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.3927,0.4519,0.1017,94,0.3252,0.5654,71.62
Vasant Kunj,2,0.22,0.3,0.48,0.65,0.68,0.65,0.5534,0.1376,0.0504,79,0.0467,0.3792,64.17
Rohini,5,0.35,0.5,0.7,0.72,0.8,0.75,0.4288,0.2189,0.1739,30,0.0713,0.4735,67.94
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.5007,0.6244,0.0019,24,0.0944,0.4797,68.19
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.7204,0.5873,0.0736,9,0.1008,0.6331,74.32
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.637,0.3313,0.0114,4,0.14,0.5063,69.25
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.4432,0.8254,0.0899,46,0.013,0.6191,73.76
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.4765,0.2493,0.0495,8,0.1471,0.3169,61.68
Rohini,3,0.35,0.5,0.7,0.72,0.8,0.2,0.208,0.2062,0.0377,74,0.2823,0.241,58.64
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.2709,0.4929,0.173,31,0.242,0.31,61.4
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.2599,0.5048,0.157,24,0.2613,0.5436,70.74
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.2898,0.5277,0.0291,32,0.1349,0.4557,67.23
Vasant Kunj,9,0.22,0.3,0.48,0.65,0.68,0.6,0.3382,0.3105,0.0186,53,0.3012,0.3593,63.37
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.4212,0.5694,0.133,20,0.0974,0.4187,65.75
Karol Bagh,9,0.33,0.42,0.55,0.72,0.82,0.6,0.3285,0.4338,0.0985,33,0.1885,0.4647,67.59
Noida Sector 18,11,0.3,0.45,0.58,0.7,0.74,0.8,0.7089,0.4153,0.1239,35,0.1635,0.5463,70.85
Saket,3,0.25,0.35,0.5,0.65,0.7,0.2,0.3263,0.3713,0.0614,101,0.2257,0.3048,61.19
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.321,0.6329,0.0652,13,0.3447,0.5071,69.28
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.5166,0.3975,0.1751,16,0.3682,0.6314,74.26
Janakpuri,7,0.3,0.4,0.6,0.68,0.76,0.7,0.5719,0.4641,0.122,93,0.0371,0.4743,67.97
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.446,0.8529,0.198,76,0.2192,0.6249,74.0
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.2158,0.6033,0.0661,32,0.0469,0.3256,62.02
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.2069,0.3821,0.0477,9,0.0858,0.2552,59.21
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.2388,0.8001,0.1928,77,0.2457,0.4807,68.23
Saket,3,0.25,0.35,0.5,0.65,0.7,0.2,0.0465,0.291,0.0377,66,0.0332,0.1417,54.67
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.2968,0.1413,0.1064,96,0.0735,0.3083,61.33
Janakpuri,2,0.3,0.4,0.6,0.68,0.76,0.65,0.7432,0.6728,0.0709,6,0.0651,0.6222,73.89
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.3639,0.7447,0.0801,98,0.0594,0.5107,69.43
Noida Sector 18,7,0.3,0.45,0.58,0.7,0.74,0.7,0.5964,0.4076,0.0453,58,0.1743,0.5224,69.9
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.5176,0.4754,0.2361,59,0.3509,0.5882,72.53
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.1663,0.3733,0.0806,81,0.1795,0.4118,65.47
Gurugram Sector 29,4,0.28,0.5,0.55,0.68,0.72,0.25,0.2244,0.5548,0.1474,34,0.2365,0.2845,60.38
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.6703,0.2453,0.1684,58,0.3826,0.6016,73.06
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.2106,0.2255,0.0562,95,0.0527,0.3516,63.06
Shahdara,10,0.4,0.65,0.6,0.72,0.85,0.65,0.1871,0.7088,0.0231,58,0.3215,0.5157,69.63
Karol Bagh,9,0.33,0.42,0.55,0.72,0.82,0.6,0.582,0.5928,0.0371,102,0.3562,0.5906,72.62
Saket,2,0.25,0.35,0.5,0.65,0.7,0.65,0.3692,0.1792,0.0789,8,0.199,0.3164,61.66
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.5611,0.4252,0.1091,79,0.0799,0.4525,67.1
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.2935,0.5185,0.2108,101,0.2743,0.5222,69.89
Vasant Kunj,3,0.22,0.3,0.48,0.65,0.68,0.2,0.1005,0.284,0.1041,61,0.0796,0.1472,54.89
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.7653,0.46,0.2552,1,0.14,0.5682,71.73
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.641,0.6754,0.1416,18,0.0869,0.6385,74.54
Karol Bagh,4,0.33,0.42,0.55,0.72,0.82,0.25,0.2131,0.6921,0.1069,30,0.2155,0.3849,64.4
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.4239,0.4827,0.0345,66,0.3218,0.5048,69.19
Dwarka,3,0.38,0.6,0.65,0.7,0.78,0.2,0.263,0.3693,0.0482,85,0.0849,0.2622,59.49
Connaught Place,8,0.28,0.3,0.55,0.7,0.72,0.75,0.4643,0.3732,0.1843,25,0.0557,0.4124,65.5
Connaught Place,1,0.28,0.3,0.55,0.7,0.72,0.7,0.7817,0.5022,0.1514,15,0.052,0.5871,72.49
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.3527,0.6998,0.1047,19,0.0231,0.5532,71.13
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.6426,0.3294,0.0704,26,0.2064,0.4721,67.88
Lajpat Nagar,6,0.32,0.45,0.5,0.68,0.75,0.8,0.5298,0.3588,0.1007,42,0.1569,0.5303,70.21
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.3744,0.5405,0.1349,80,0.0864,0.4636,67.54
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.379,0.2122,0.1702,42,0.1994,0.2764,60.05
Connaught Place,6,0.28,0.3,0.55,0.7,0.72,0.8,0.5307,0.477,0.0674,83,0.2508,0.56,71.4
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.2972,0.6088,0.1144,53,0.0695,0.479,68.16
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.7036,0.7598,0.1444,73,0.0017,0.6429,74.72
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.5335,0.3846,0.0908,41,0.1067,0.4993,68.97
Gurugram Sector 29,11,0.28,0.5,0.55,0.68,0.72,0.8,0.6,0.3188,0.0991,87,0.1817,0.5367,70.47
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.5026,0.3929,0.061,4,0.1,0.455,67.2
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.6173,0.1795,0.0557,40,0.1637,0.5025,69.1
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.3837,0.5851,0.1435,51,0.0697,0.4363,66.45
Vasant Kunj,10,0.22,0.3,0.48,0.65,0.68,0.65,0.7735,0.5699,0.0906,84,0.2357,0.6326,74.3
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.2963,0.49,0.0445,32,0.2189,0.4132,65.53
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.513,0.2077,0.1123,22,0.1055,0.4376,66.5
Vasant Kunj,1,0.22,0.3,0.48,0.65,0.68,0.7,0.6783,0.5935,0.0226,62,0.1334,0.5418,70.67
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.6767,0.4267,0.0994,55,0.2487,0.5716,71.86
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.2466,0.0789,0.3445,44,0.465,0.2207,57.83
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.4385,0.6762,0.1637,59,0.294,0.5599,71.4
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.9232,0.2114,0.1552,43,0.3604,0.7323,78.29
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.3492,0.6471,0.2758,14,0.3431,0.6213,73.85
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.7239,0.5872,0.0799,90,0.1403,0.6523,75.09
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.5811,0.3949,0.0978,18,0.1872,0.5374,70.5
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.7711,0.4834,0.102,78,0.4272,0.7493,78.97
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.6217,0.6924,0.0781,21,0.2876,0.6728,75.91
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.7383,0.4995,0.0101,83,0.5667,0.628,74.12
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.6273,0.3204,0.0301,23,0.0168,0.5183,69.73
Karol Bagh,11,0.33,0.42,0.55,0.72,0.82,0.8,0.8382,0.7916,0.1461,66,0.1083,0.7017,77.07
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.222,0.6304,0.0954,101,0.2928,0.4978,68.91
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.8064,0.4332,0.047,92,0.1127,0.5599,71.39
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.8027,0.7476,0.1986,23,0.2771,0.7383,78.53
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.3016,0.4635,0.1775,66,0.0609,0.476,68.04
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.7215,0.6163,0.1046,34,0.0251,0.5877,72.51
Vasant Kunj,1,0.22,0.3,0.48,0.65,0.68,0.7,0.3069,0.353,0.0784,3,0.088,0.3627,63.51
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.4503,0.6927,0.0853,101,0.0946,0.5092,69.37
Karol Bagh,9,0.33,0.42,0.55,0.72,0.82,0.6,0.4685,0.2648,0.1897,53,0.1272,0.4865,68.46
Saket,3,0.25,0.35,0.5,0.65,0.7,0.2,0.1551,0.3901,0.0428,46,0.0576,0.265,59.6
Vasant Kunj,2,0.22,0.3,0.48,0.65,0.68,0.65,0.5273,0.2019,0.1145,60,0.1276,0.4151,65.61
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.2723,0.243,0.2075,18,0.4521,0.4659,67.64
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.2652,0.2648,0.1479,93,0.0875,0.2454,58.82
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.8219,0.771,0.0928,45,0.3987,0.8308,82.23
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.2907,0.7113,0.2768,54,0.1543,0.5474,70.9
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.5499,0.7896,0.0153,98,0.4316,0.816,81.64
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.732,0.3657,0.0632,25,0.1299,0.5962,72.85
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.7977,0.832,0.1721,92,0.4822,0.8405,82.62
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.2255,0.1612,0.297,47,0.0965,0.3418,62.67
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.1298,0.5062,0.0171,11,0.2275,0.242,58.68
Karol Bagh,1,0.33,0.42,0.55,0.72,0.82,0.7,0.2194,0.3035,0.1456,44,0.1556,0.384,64.36
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.3044,0.4568,0.1196,49,0.1439,0.4885,68.54
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.4876,0.4233,0.1442,58,0.2178,0.4197,65.79
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.3157,0.5974,0.1456,59,0.1759,0.3547,63.19
Gurugram Sector 29,4,0.28,0.5,0.55,0.68,0.72,0.25,0.0912,0.3977,0.1776,28,0.2562,0.2344,58.38
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.4639,0.513,0.2738,94,0.3944,0.5695,71.78
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.2115,0.6611,0.0382,35,0.6886,0.4258,66.03
Janakpuri,7,0.3,0.4,0.6,0.68,0.76,0.7,0.7244,0.5545,0.2184,70,0.1915,0.5692,71.77
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.2855,0.2119,0.0752,100,0.06,0.3526,63.11
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.2077,0.4572,0.2291,15,0.3574,0.3054,61.22
Saket,3,0.25,0.35,0.5,0.65,0.7,0.2,0.3429,0.4992,0.069,51,0.1427,0.3257,62.03
Dwarka,5,0.38,0.6,0.65,0.7,0.78,0.75,0.4115,0.5431,0.2425,11,0.0279,0.5306,70.22
Saket,8,0.25,0.35,0.5,0.65,0.7,0.75,0.1859,0.6126,0.0702,89,0.1524,0.4195,65.78
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.1279,0.4873,0.1623,86,0.2377,0.3203,61.81
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.3707,0.3071,0.0929,100,0.3228,0.4645,67.58
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.6693,0.318,0.1253,95,0.2782,0.5349,70.39
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.2099,0.2477,0.1007,85,0.0091,0.1697,55.79
Gurugram Sector 29,7,0.28,0.5,0.55,0.68,0.72,0.7,0.1283,0.54,0.15,37,0.177,0.42,65.8
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.5567,0.4838,0.0925,42,0.1337,0.4866,68.46
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.5057,0.3919,0.1268,6,0.33,0.5609,71.43
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.4937,0.49,0.1106,21,0.0341,0.3529,63.12
Gurugram Sector 29,4,0.28,0.5,0.55,0.68,0.72,0.25,0.3186,0.1427,0.0577,47,0.1101,0.2472,58.89
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.7383,0.1461,0.1946,84,0.448,0.5386,70.55
Rohini,12,0.35,0.5,0.7,0.72,0.8,0.75,0.5902,0.8191,0.1004,91,0.3449,0.837,82.48
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.1965,0.6723,0.1085,65,0.0781,0.3403,62.61
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.3343,0.6199,0.1433,20,0.1935,0.5559,71.23
Noida Sector 18,11,0.3,0.45,0.58,0.7,0.74,0.8,0.3436,0.5789,0.0604,34,0.5539,0.5862,72.45
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.1527,0.8583,0.0864,21,0.3013,0.5302,70.21
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.4846,0.5834,0.115,85,0.1779,0.5426,70.7
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.2702,0.3052,0.1374,89,0.1244,0.4186,65.74
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.8464,0.5818,0.1795,60,0.5079,0.7594,79.38
Karol Bagh,9,0.33,0.42,0.55,0.72,0.82,0.6,0.2339,0.5386,0.062,39,0.3092,0.4704,67.82
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.5533,0.5074,0.0595,82,0.4012,0.6414,74.66
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.5648,0.5656,0.0732,86,0.0965,0.5731,71.92
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.4735,0.4386,0.0509,53,0.1844,0.386,64.44
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.1419,0.6567,0.0589,81,0.0737,0.4504,67.02
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.3406,0.5634,0.0369,64,0.1179,0.4629,67.52
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.2575,0.2243,0.1689,96,0.2497,0.3655,63.62
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.3002,0.3831,0.1175,38,0.1862,0.3226,61.9
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.2458,0.4838,0.1195,19,0.5371,0.4044,65.18
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.268,0.4347,0.0413,36,0.6666,0.3799,64.19
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.3773,0.6746,0.1025,22,0.1099,0.5959,72.83
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.224,0.6231,0.1211,75,0.2454,0.3527,63.11
Connaught Place,6,0.28,0.3,0.55,0.7,0.72,0.8,0.9371,0.4459,0.1035,17,0.019,0.6108,73.43
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.6499,0.2819,0.0416,40,0.056,0.5337,70.35
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.0921,0.2653,0.0875,1,0.16,0.231,58.24
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.288,0.3419,0.1289,43,0.0195,0.2091,57.36
Saket,2,0.25,0.35,0.5,0.65,0.7,0.65,0.6265,0.4653,0.1235,73,0.1337,0.4742,67.97
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.7619,0.6201,0.1791,32,0.0886,0.6637,75.55
Vasant Kunj,9,0.22,0.3,0.48,0.65,0.68,0.6,0.3988,0.1933,0.0772,89,0.0126,0.3022,61.09
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.1617,0.7174,0.0153,83,0.0814,0.4455,66.82
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.614,0.4632,0.1055,10,0.5375,0.648,74.92
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.5367,0.7149,0.1489,87,0.281,0.6444,74.77
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.3838,0.6734,0.109,46,0.2123,0.5285,70.14
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.2057,0.2083,0.1278,17,0.2408,0.3998,64.99
Saket,9,0.25,0.35,0.5,0.65,0.7,0.6,0.5685,0.4429,0.0535,76,0.23,0.4795,68.18
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.4384,0.7218,0.0765,72,0.1758,0.5935,72.74
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.7831,0.6772,0.0772,18,0.0535,0.6709,75.84
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.5051,0.4191,0.016,26,0.0413,0.5252,70.01
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.2652,0.5836,0.0136,49,0.3693,0.3847,64.39
Noida Sector 18,7,0.3,0.45,0.58,0.7,0.74,0.7,0.2673,0.5382,0.0325,26,0.0871,0.433,66.32
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.3157,0.4395,0.0903,58,0.3226,0.5026,69.1
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.6878,0.3813,0.115,20,0.2958,0.6642,75.57
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.4786,0.6284,0.1127,79,0.097,0.5677,71.71
