zone,work_type,disruption_freq,flood_risk,heat_risk,weekly_income,income_norm,tenure_weeks,claim_ratio,premium_score,weekly_premium
Shahdara,1,0.4,0.65,0.72,2707.38,0.0894,101,0.2979,0.1876,40.26
Gurugram Sector 29,1,0.28,0.5,0.68,8060.03,0.4859,25,0.055,0.2742,45.45
Saket,0,0.25,0.35,0.65,15000.0,1.0,88,0.0384,0.6485,67.91
Mayur Vihar,0,0.35,0.55,0.7,7312.54,0.4306,51,0.0456,0.4136,53.82
Janakpuri,1,0.3,0.4,0.68,6757.93,0.3895,9,0.2712,0.2845,46.07
Vasant Kunj,1,0.22,0.3,0.65,5231.68,0.2764,74,0.2374,0.2364,43.18
Connaught Place,0,0.28,0.3,0.7,2633.98,0.084,22,0.1842,0.1629,38.77
Rohini,0,0.35,0.5,0.72,6618.26,0.3791,15,0.0333,0.3323,48.94
Vasant Kunj,1,0.22,0.3,0.65,2320.17,0.0608,56,0.5146,0.1356,37.14
Dwarka,1,0.38,0.6,0.7,2196.69,0.0516,82,0.206,0.1538,38.23
Dwarka,1,0.38,0.6,0.7,2128.63,0.0466,27,0.1745,0.1721,39.33
Mayur Vihar,0,0.35,0.55,0.7,6554.2,0.3744,65,0.2336,0.4097,53.58
Rohini,1,0.35,0.5,0.72,3910.0,0.1785,2,0.0,0.2071,41.43
Shahdara,0,0.4,0.65,0.72,4232.0,0.2024,20,0.0911,0.3443,49.66
Dwarka,0,0.38,0.6,0.7,3993.0,0.1847,79,0.0705,0.3078,47.47
Rohini,1,0.35,0.5,0.72,2291.91,0.0587,2,0.0,0.1517,38.1
Vasant Kunj,1,0.22,0.3,0.65,2877.38,0.102,38,0.163,0.1337,37.02
Rohini,0,0.35,0.5,0.72,2950.67,0.1075,53,0.2449,0.268,45.08
Lajpat Nagar,1,0.32,0.45,0.68,1992.94,0.0365,7,0.2992,0.1373,37.24
Gurugram Sector 29,0,0.28,0.5,0.68,3127.21,0.1205,102,0.2985,0.1916,40.49
Karol Bagh,0,0.33,0.42,0.72,2343.37,0.0625,53,0.3675,0.2408,43.45
Lajpat Nagar,0,0.32,0.45,0.68,5371.37,0.2868,36,0.2082,0.3344,49.06
Gurugram Sector 29,0,0.28,0.5,0.68,5599.8,0.3037,102,0.2596,0.3742,51.45
Shahdara,1,0.4,0.65,0.72,2107.34,0.045,59,0.4311,0.2198,42.19
Mayur Vihar,1,0.35,0.55,0.7,3469.22,0.1459,71,0.1043,0.2078,41.47
Lajpat Nagar,1,0.32,0.45,0.68,10178.47,0.6428,10,0.0595,0.365,50.9
Vasant Kunj,0,0.22,0.3,0.65,2464.19,0.0714,17,0.3308,0.1741,39.44
Noida Sector 18,0,0.3,0.45,0.7,4980.67,0.2578,5,0.3201,0.3178,48.07
Karol Bagh,0,0.33,0.42,0.72,4241.88,0.2031,54,0.028,0.2885,46.31
Saket,1,0.25,0.35,0.65,6949.63,0.4037,87,0.1429,0.2703,45.22
Vasant Kunj,0,0.22,0.3,0.65,4664.49,0.2344,94,0.1825,0.2756,45.54
Noida Sector 18,0,0.3,0.45,0.7,3243.32,0.1291,60,0.3476,0.264,44.84
Lajpat Nagar,1,0.32,0.45,0.68,4160.46,0.1971,6,0.2148,0.2006,41.04
Vasant Kunj,1,0.22,0.3,0.65,4190.96,0.1993,66,0.0801,0.1893,40.36
Mayur Vihar,0,0.35,0.55,0.7,3843.55,0.1736,67,0.3912,0.3348,49.09
Dwarka,0,0.38,0.6,0.7,2080.67,0.043,63,0.3373,0.2599,44.6
Shahdara,1,0.4,0.65,0.72,7491.65,0.4438,76,0.041,0.338,49.28
Saket,0,0.25,0.35,0.65,6858.31,0.3969,58,0.5247,0.3959,52.76
Shahdara,0,0.4,0.65,0.72,2387.27,0.0657,74,0.2508,0.2621,44.72
Vasant Kunj,1,0.22,0.3,0.65,3462.12,0.1453,51,0.3308,0.1665,38.99
Karol Bagh,0,0.33,0.42,0.72,3595.57,0.1552,16,0.2225,0.2467,43.8
Rohini,0,0.35,0.5,0.72,2256.88,0.0561,9,0.2233,0.2261,42.57
Vasant Kunj,0,0.22,0.3,0.65,1582.25,0.0061,95,0.2641,0.1716,39.29
Janakpuri,0,0.3,0.4,0.68,2877.58,0.102,46,0.2955,0.2514,44.08
Gurugram Sector 29,0,0.28,0.5,0.68,3367.07,0.1383,34,0.3608,0.2814,45.88
Mayur Vihar,0,0.35,0.55,0.7,1957.42,0.0339,31,0.2156,0.2452,43.71
Janakpuri,0,0.3,0.4,0.68,4396.17,0.2145,6,0.2017,0.2741,45.45
Janakpuri,0,0.3,0.4,0.68,7197.06,0.422,99,0.1109,0.3526,50.16
Janakpuri,1,0.3,0.4,0.68,6130.66,0.343,9,0.0471,0.2453,43.72
Karol Bagh,1,0.33,0.42,0.72,3776.89,0.1687,23,0.3189,0.2098,41.59
Saket,0,0.25,0.35,0.65,1603.26,0.0076,48,0.2597,0.1783,39.7
Dwarka,0,0.38,0.6,0.7,5755.15,0.3152,38,0.3663,0.4055,53.33
Saket,1,0.25,0.35,0.65,4329.45,0.2096,5,0.4504,0.2288,42.73
Rohini,1,0.35,0.5,0.72,4974.97,0.2574,35,0.108,0.2102,41.61
Saket,1,0.25,0.35,0.65,10594.09,0.6736,82,0.0353,0.3445,49.67
Lajpat Nagar,0,0.32,0.45,0.68,2664.03,0.0862,27,0.1237,0.2192,42.15
Lajpat Nagar,0,0.32,0.45,0.68,1500.0,0.0,91,0.0833,0.1834,40.01
Gurugram Sector 29,0,0.28,0.5,0.68,2376.24,0.0649,38,0.4488,0.2842,46.05
Connaught Place,1,0.28,0.3,0.7,5130.83,0.269,2,0.0,0.1882,40.29
Shahdara,0,0.4,0.65,0.72,4078.41,0.191,12,0.6904,0.3638,50.83
Mayur Vihar,0,0.35,0.55,0.7,2191.15,0.0512,85,0.2308,0.2277,42.66
Gurugram Sector 29,0,0.28,0.5,0.68,1978.59,0.0355,43,0.2719,0.195,40.7
Janakpuri,0,0.3,0.4,0.68,3370.09,0.1385,103,0.3066,0.2362,43.17
Rohini,1,0.35,0.5,0.72,2158.03,0.0487,83,0.0158,0.1559,38.35
Vasant Kunj,0,0.22,0.3,0.65,5220.33,0.2756,4,0.0,0.279,45.74
Karol Bagh,1,0.33,0.42,0.72,3275.7,0.1315,33,0.0759,0.1806,39.83
Noida Sector 18,1,0.3,0.45,0.7,2940.81,0.1067,76,0.2289,0.1662,38.97
Lajpat Nagar,1,0.32,0.45,0.68,2754.14,0.0929,7,0.1634,0.1683,39.1
Connaught Place,0,0.28,0.3,0.7,4589.66,0.2289,104,0.0941,0.2391,43.34
Dwarka,1,0.38,0.6,0.7,4110.52,0.1934,18,0.3193,0.262,44.72
Lajpat Nagar,1,0.32,0.45,0.68,4451.42,0.2186,83,0.115,0.2368,43.21
Karol Bagh,0,0.33,0.42,0.72,4403.1,0.215,88,0.0307,0.2437,43.62
Rohini,0,0.35,0.5,0.72,3881.21,0.1764,53,0.134,0.2872,46.23
Dwarka,1,0.38,0.6,0.7,2400.51,0.0667,84,0.0756,0.1698,39.19
Vasant Kunj,0,0.22,0.3,0.65,2792.83,0.0958,93,0.2092,0.1916,40.49
Mayur Vihar,0,0.35,0.55,0.7,3303.25,0.1336,77,0.0744,0.26,44.6
Rohini,0,0.35,0.5,0.72,11300.45,0.726,74,0.3977,0.5569,62.42
Saket,0,0.25,0.35,0.65,2049.97,0.0407,41,0.307,0.2102,41.61
Shahdara,0,0.4,0.65,0.72,3263.36,0.1306,31,0.0843,0.2842,46.05
Noida Sector 18,1,0.3,0.45,0.7,4226.52,0.202,91,0.0411,0.1936,40.62
Vasant Kunj,0,0.22,0.3,0.65,3457.61,0.145,24,0.1977,0.2161,41.97
Karol Bagh,1,0.33,0.42,0.72,6884.2,0.3988,44,0.0598,0.2647,44.88
Vasant Kunj,0,0.22,0.3,0.65,3448.69,0.1443,54,0.2015,0.2101,41.61
Connaught Place,0,0.28,0.3,0.7,3578.61,0.154,41,0.036,0.1798,39.79
Rohini,0,0.35,0.5,0.72,6046.98,0.3368,39,0.2665,0.3289,48.73
Shahdara,1,0.4,0.65,0.72,9950.28,0.6259,63,0.3969,0.4101,53.6
Connaught Place,1,0.28,0.3,0.7,8133.52,0.4914,35,0.1326,0.2882,46.29
Saket,0,0.25,0.35,0.65,3758.12,0.1673,103,0.0571,0.1892,40.35
Lajpat Nagar,0,0.32,0.45,0.68,3925.48,0.1797,19,0.0423,0.2496,43.98
Vasant Kunj,0,0.22,0.3,0.65,4118.97,0.194,41,0.2573,0.2336,43.01
Connaught Place,0,0.28,0.3,0.7,4330.77,0.2097,88,0.0199,0.2416,43.5
Lajpat Nagar,1,0.32,0.45,0.68,2634.18,0.084,50,0.1263,0.1743,39.46
Rohini,0,0.35,0.5,0.72,6427.22,0.365,74,0.0294,0.4007,53.04
Lajpat Nagar,1,0.32,0.45,0.68,4461.79,0.2194,68,0.0202,0.2143,41.86
Shahdara,0,0.4,0.65,0.72,3934.63,0.1803,35,0.0021,0.2842,46.05
Saket,0,0.25,0.35,0.65,2131.17,0.0468,78,0.2492,0.1966,40.8
Karol Bagh,1,0.33,0.42,0.72,4151.16,0.1964,25,0.0611,0.223,42.38
Dwarka,0,0.38,0.6,0.7,1561.49,0.0046,78,0.0971,0.1906,40.44
Shahdara,1,0.4,0.65,0.72,3008.44,0.1117,14,0.2463,0.2045,41.27
Noida Sector 18,0,0.3,0.45,0.7,3036.47,0.1138,73,0.2013,0.2111,41.67
Noida Sector 18,1,0.3,0.45,0.7,4644.77,0.2329,12,0.2622,0.2204,42.23
Mayur Vihar,0,0.35,0.55,0.7,10300.27,0.6519,91,0.1199,0.5329,60.97
Rohini,0,0.35,0.5,0.72,5355.9,0.2856,66,0.2193,0.3754,51.52
Shahdara,1,0.4,0.65,0.72,8301.58,0.5038,5,0.4436,0.3957,52.74
Mayur Vihar,0,0.35,0.55,0.7,5555.85,0.3004,12,0.3554,0.381,51.86
Karol Bagh,0,0.33,0.42,0.72,7062.3,0.412,20,0.2432,0.3962,52.77
Noida Sector 18,1,0.3,0.45,0.7,10183.9,0.6433,100,0.0564,0.3732,51.39
Noida Sector 18,0,0.3,0.45,0.7,2790.79,0.0956,62,0.2326,0.2426,43.55
Karol Bagh,1,0.33,0.42,0.72,2701.19,0.089,30,0.157,0.1884,40.31
Noida Sector 18,1,0.3,0.45,0.7,5621.79,0.3053,29,0.1009,0.2436,43.62
Vasant Kunj,1,0.22,0.3,0.65,4016.48,0.1864,3,0.0,0.165,38.9
Lajpat Nagar,0,0.32,0.45,0.68,4492.56,0.2217,22,0.227,0.2909,46.45
Saket,0,0.25,0.35,0.65,3553.42,0.1521,89,0.1208,0.2254,42.52
Lajpat Nagar,1,0.32,0.45,0.68,2986.54,0.1101,63,0.2839,0.1829,39.97
Lajpat Nagar,0,0.32,0.45,0.68,9048.75,0.5592,39,0.1236,0.4337,55.02
Janakpuri,0,0.3,0.4,0.68,2321.73,0.0609,3,0.0,0.2019,41.11
Rohini,0,0.35,0.5,0.72,5671.43,0.309,36,0.0532,0.3706,51.23
Saket,0,0.25,0.35,0.65,5229.73,0.2763,40,0.2928,0.3017,47.1
Janakpuri,0,0.3,0.4,0.68,1827.11,0.0242,13,0.303,0.2031,41.18
Noida Sector 18,1,0.3,0.45,0.7,2656.09,0.0856,64,0.4473,0.2005,41.03
Vasant Kunj,1,0.22,0.3,0.65,2888.97,0.1029,69,0.1006,0.1351,37.11
Karol Bagh,1,0.33,0.42,0.72,5336.32,0.2842,104,0.341,0.2587,44.52
Saket,0,0.25,0.35,0.65,3349.22,0.137,38,0.3529,0.2344,43.07
Dwarka,0,0.38,0.6,0.7,3855.3,0.1745,29,0.1441,0.2917,46.5
Mayur Vihar,0,0.35,0.55,0.7,1941.42,0.0327,86,0.1096,0.2252,42.51
Lajpat Nagar,1,0.32,0.45,0.68,12873.88,0.8425,37,0.2692,0.4679,57.08
Shahdara,0,0.4,0.65,0.72,4169.69,0.1978,66,0.125,0.3433,49.6
Janakpuri,0,0.3,0.4,0.68,5164.17,0.2714,77,0.5033,0.34,49.4
Rohini,0,0.35,0.5,0.72,3070.78,0.1164,92,0.0818,0.2234,42.4
Noida Sector 18,1,0.3,0.45,0.7,2903.54,0.104,34,0.3109,0.2008,41.05
Dwarka,1,0.38,0.6,0.7,10470.76,0.6645,65,0.0589,0.3933,52.6
Rohini,1,0.35,0.5,0.72,1543.24,0.0032,14,0.2338,0.1432,37.59
Noida Sector 18,0,0.3,0.45,0.7,4625.42,0.2315,82,0.2177,0.2894,46.36
Rohini,1,0.35,0.5,0.72,2195.68,0.0515,5,0.2617,0.1485,37.91
Gurugram Sector 29,0,0.28,0.5,0.68,3286.24,0.1323,73,0.19,0.2458,43.75
Lajpat Nagar,0,0.32,0.45,0.68,2924.72,0.1055,22,0.3631,0.267,45.02
Janakpuri,0,0.3,0.4,0.68,2457.77,0.0709,49,0.4551,0.2263,42.58
Mayur Vihar,0,0.35,0.55,0.7,4095.81,0.1923,8,0.0488,0.3153,47.92
Rohini,0,0.35,0.5,0.72,1500.0,0.0,72,0.3445,0.241,43.46
Mayur Vihar,0,0.35,0.55,0.7,3436.66,0.1435,51,0.0219,0.2792,45.75
Gurugram Sector 29,0,0.28,0.5,0.68,3846.25,0.1738,70,0.0522,0.2184,42.11
Karol Bagh,1,0.33,0.42,0.72,2039.3,0.0399,37,0.0829,0.1665,38.99
Rohini,1,0.35,0.5,0.72,8575.03,0.5241,1,0.0,0.3287,48.72
Gurugram Sector 29,1,0.28,0.5,0.68,2989.23,0.1103,61,0.2337,0.2078,41.47
Vasant Kunj,0,0.22,0.3,0.65,3573.35,0.1536,73,0.0956,0.1958,40.75
Mayur Vihar,0,0.35,0.55,0.7,2992.58,0.1106,70,0.1339,0.2534,44.2
Rohini,1,0.35,0.5,0.72,3863.07,0.175,28,0.3732,0.2307,42.84
Mayur Vihar,0,0.35,0.55,0.7,7739.34,0.4622,75,0.2556,0.4255,54.53
Lajpat Nagar,0,0.32,0.45,0.68,13856.47,0.9153,57,0.178,0.6085,65.51
Noida Sector 18,0,0.3,0.45,0.7,5841.95,0.3216,22,0.1902,0.2944,46.66
Janakpuri,1,0.3,0.4,0.68,6932.65,0.4024,12,0.0511,0.3145,47.87
Shahdara,0,0.4,0.65,0.72,9492.09,0.592,34,0.1778,0.4939,58.63
Shahdara,1,0.4,0.65,0.72,4557.07,0.2264,3,0.0,0.2202,42.21
Connaught Place,0,0.28,0.3,0.7,8823.07,0.5424,75,0.1057,0.4292,54.75
Shahdara,0,0.4,0.65,0.72,5980.15,0.3319,2,0.0,0.351,50.06
Vasant Kunj,0,0.22,0.3,0.65,4324.25,0.2092,6,0.5019,0.2441,43.65
Janakpuri,0,0.3,0.4,0.68,4794.24,0.244,17,0.2891,0.2474,43.85
Dwarka,0,0.38,0.6,0.7,1618.56,0.0088,34,0.2235,0.2336,43.02
Vasant Kunj,1,0.22,0.3,0.65,4656.69,0.2338,3,0.0,0.1628,38.77
Lajpat Nagar,0,0.32,0.45,0.68,1859.62,0.0266,66,0.1002,0.2017,41.1
Janakpuri,0,0.3,0.4,0.68,1785.34,0.0211,14,0.014,0.1645,38.87
Shahdara,1,0.4,0.65,0.72,4431.26,0.2171,84,0.187,0.2569,44.41
Janakpuri,0,0.3,0.4,0.68,2305.29,0.0597,59,0.1675,0.1915,40.49
Vasant Kunj,0,0.22,0.3,0.65,4009.59,0.1859,9,0.1019,0.2191,42.15
Janakpuri,0,0.3,0.4,0.68,4312.26,0.2083,42,0.3884,0.2791,45.75
Vasant Kunj,0,0.22,0.3,0.65,4409.54,0.2155,15,0.169,0.2302,42.81
Connaught Place,0,0.28,0.3,0.7,2560.45,0.0786,102,0.1528,0.1687,39.12
Gurugram Sector 29,1,0.28,0.5,0.68,6306.53,0.356,62,0.097,0.2872,46.23
Noida Sector 18,0,0.3,0.45,0.7,3848.28,0.1739,85,0.3013,0.2717,45.3
Rohini,1,0.35,0.5,0.72,5016.75,0.2605,39,0.0297,0.2017,41.1
Rohini,0,0.35,0.5,0.72,2212.28,0.0528,16,0.0519,0.2177,42.06
Gurugram Sector 29,1,0.28,0.5,0.68,3680.62,0.1615,25,0.3666,0.1998,40.99
Noida Sector 18,1,0.3,0.45,0.7,6964.96,0.4048,44,0.1845,0.2869,46.21
Noida Sector 18,0,0.3,0.45,0.7,6536.05,0.373,81,0.1526,0.3589,50.53
Connaught Place,0,0.28,0.3,0.7,2700.94,0.089,45,0.0953,0.2198,42.19
Noida Sector 18,0,0.3,0.45,0.7,3063.22,0.1158,97,0.2401,0.2367,43.2
Vasant Kunj,1,0.22,0.3,0.65,2454.45,0.0707,38,0.3507,0.1562,38.37
Connaught Place,1,0.28,0.3,0.7,2898.05,0.1036,25,0.3016,0.1741,39.45
Janakpuri,0,0.3,0.4,0.68,1999.13,0.037,52,0.2124,0.1664,38.98
Janakpuri,1,0.3,0.4,0.68,3755.26,0.1671,12,0.3548,0.2076,41.45
Karol Bagh,0,0.33,0.42,0.72,5522.41,0.298,70,0.0574,0.3046,47.27
Dwarka,0,0.38,0.6,0.7,2717.52,0.0902,11,0.0531,0.2272,42.63
Janakpuri,1,0.3,0.4,0.68,3845.65,0.1738,67,0.3109,0.1859,40.15
Gurugram Sector 29,0,0.28,0.5,0.68,3603.82,0.1558,40,0.1242,0.2718,45.31
Connaught Place,0,0.28,0.3,0.7,6819.62,0.394,38,0.1483,0.4007,53.04
Mayur Vihar,1,0.35,0.55,0.7,2963.73,0.1084,64,0.1033,0.177,39.62
Mayur Vihar,0,0.35,0.55,0.7,3018.13,0.1125,74,0.1947,0.2675,45.05
Gurugram Sector 29,1,0.28,0.5,0.68,2635.92,0.0841,97,0.0517,0.1638,38.83
Noida Sector 18,0,0.3,0.45,0.7,2278.44,0.0577,31,0.3424,0.215,41.9
Gurugram Sector 29,0,0.28,0.5,0.68,5242.7,0.2772,85,0.1168,0.3435,49.61
Mayur Vihar,0,0.35,0.55,0.7,3761.02,0.1675,87,0.0754,0.3227,48.36
Karol Bagh,1,0.33,0.42,0.72,4135.67,0.1952,104,0.2208,0.2046,41.27
Janakpuri,0,0.3,0.4,0.68,7610.78,0.4527,101,0.2883,0.4438,55.63
Janakpuri,0,0.3,0.4,0.68,7832.53,0.4691,83,0.132,0.3908,52.45
Noida Sector 18,1,0.3,0.45,0.7,1766.73,0.0198,31,0.1139,0.1233,36.4
Rohini,1,0.35,0.5,0.72,5563.14,0.301,73,0.4957,0.2837,46.02
Karol Bagh,1,0.33,0.42,0.72,4504.46,0.2226,82,0.0097,0.221,42.26
Mayur Vihar,0,0.35,0.55,0.7,3194.56,0.1255,31,0.2158,0.2698,45.19
Noida Sector 18,0,0.3,0.45,0.7,4740.23,0.24,85,0.0256,0.2998,46.99
Dwarka,0,0.38,0.6,0.7,1697.32,0.0146,73,0.456,0.2584,44.51
Saket,1,0.25,0.35,0.65,8360.9,0.5082,52,0.1782,0.3255,48.53
Janakpuri,1,0.3,0.4,0.68,5205.51,0.2745,90,0.0776,0.2322,42.93
Noida Sector 18,1,0.3,0.45,0.7,2610.77,0.0823,10,0.0561,0.1799,39.79
Mayur Vihar,0,0.35,0.55,0.7,3002.78,0.1113,72,0.2513,0.2511,44.07
Gurugram Sector 29,0,0.28,0.5,0.68,1717.16,0.0161,82,0.0973,0.1787,39.72
Vasant Kunj,0,0.22,0.3,0.65,3439.29,0.1437,5,0.0152,0.1948,40.69
Vasant Kunj,0,0.22,0.3,0.65,3160.97,0.123,43,0.5633,0.2223,42.34
Gurugram Sector 29,0,0.28,0.5,0.68,2074.44,0.0426,54,0.4028,0.2064,41.39
Saket,0,0.25,0.35,0.65,5933.39,0.3284,22,0.0106,0.3079,47.47
Noida Sector 18,1,0.3,0.45,0.7,7618.99,0.4533,92,0.2629,0.3215,48.29
Janakpuri,1,0.3,0.4,0.68,3969.2,0.1829,66,0.1048,0.1936,40.62
Noida Sector 18,1,0.3,0.45,0.7,3453.61,0.1447,29,0.1396,0.2025,41.15
Mayur Vihar,1,0.35,0.55,0.7,5001.5,0.2594,46,0.1515,0.2327,42.96
Saket,1,0.25,0.35,0.65,3984.55,0.184,12,0.1527,0.1759,39.55
Shahdara,1,0.4,0.65,0.72,2342.35,0.0624,10,0.0766,0.1716,39.29
Connaught Place,0,0.28,0.3,0.7,2903.47,0.104,78,0.0026,0.191,40.46
Gurugram Sector 29,1,0.28,0.5,0.68,3469.56,0.1459,103,0.0672,0.1908,40.45
Janakpuri,0,0.3,0.4,0.68,4555.51,0.2263,29,0.1621,0.3102,47.61
Janakpuri,0,0.3,0.4,0.68,4042.7,0.1883,26,0.1125,0.2359,43.15
Shahdara,0,0.4,0.65,0.72,4470.18,0.22,72,0.275,0.3585,50.51
Rohini,1,0.35,0.5,0.72,1877.29,0.0279,54,0.3092,0.191,40.46
Noida Sector 18,1,0.3,0.45,0.7,5611.7,0.3046,15,0.4624,0.2557,44.34
Gurugram Sector 29,1,0.28,0.5,0.68,4030.75,0.1875,70,0.1115,0.1839,40.03
Saket,1,0.25,0.35,0.65,14419.76,0.957,22,0.2483,0.4566,56.4
Lajpat Nagar,1,0.32,0.45,0.68,3314.9,0.1344,12,0.2161,0.2001,41.01
Saket,0,0.25,0.35,0.65,4730.23,0.2393,49,0.2771,0.2678,45.07
Rohini,1,0.35,0.5,0.72,15000.0,1.0,77,0.2179,0.5343,61.06
Saket,1,0.25,0.35,0.65,4433.95,0.2173,55,0.0992,0.1869,40.22
Noida Sector 18,1,0.3,0.45,0.7,3890.08,0.177,68,0.0211,0.2169,42.01
Lajpat Nagar,0,0.32,0.45,0.68,2456.61,0.0709,25,0.047,0.2214,42.28
Gurugram Sector 29,0,0.28,0.5,0.68,8639.79,0.5289,52,0.0161,0.415,53.9
Rohini,1,0.35,0.5,0.72,2253.97,0.0558,75,0.3117,0.1755,39.53
Karol Bagh,0,0.33,0.42,0.72,4981.87,0.2579,55,0.4534,0.3551,50.3
Gurugram Sector 29,0,0.28,0.5,0.68,3175.51,0.1241,25,0.2998,0.2357,43.14
Dwarka,0,0.38,0.6,0.7,3660.42,0.16,100,0.0708,0.3117,47.7
Shahdara,0,0.4,0.65,0.72,1974.43,0.0351,8,0.3052,0.2566,44.4
Lajpat Nagar,0,0.32,0.45,0.68,7875.91,0.4723,95,0.2255,0.4404,55.42
Lajpat Nagar,1,0.32,0.45,0.68,3502.04,0.1483,76,0.328,0.2014,41.08
Vasant Kunj,1,0.22,0.3,0.65,2191.75,0.0512,12,0.4748,0.1381,37.29
Mayur Vihar,1,0.35,0.55,0.7,7527.7,0.4465,27,0.1271,0.3073,47.44
Lajpat Nagar,0,0.32,0.45,0.68,3127.32,0.1205,39,0.0434,0.2648,44.89
Dwarka,0,0.38,0.6,0.7,4756.67,0.2412,100,0.1496,0.3307,48.84
Rohini,0,0.35,0.5,0.72,6128.52,0.3429,54,0.1652,0.4306,54.83
Saket,0,0.25,0.35,0.65,5100.11,0.2667,27,0.1142,0.2828,45.97
Dwarka,0,0.38,0.6,0.7,1500.0,0.0,96,0.1248,0.1965,40.79
Dwarka,1,0.38,0.6,0.7,5696.91,0.3109,13,0.2777,0.2644,44.86
Shahdara,1,0.4,0.65,0.72,3826.45,0.1723,85,0.0218,0.2449,43.69
Rohini,0,0.35,0.5,0.72,3413.47,0.1417,87,0.153,0.2633,44.8
Karol Bagh,0,0.33,0.42,0.72,3810.3,0.1711,41,0.2983,0.2968,46.81
Gurugram Sector 29,0,0.28,0.5,0.68,1799.0,0.0221,5,0.4291,0.2654,44.93
Mayur Vihar,0,0.35,0.55,0.7,4429.69,0.217,93,0.1729,0.3267,48.6
Rohini,0,0.35,0.5,0.72,2034.09,0.0396,101,0.1114,0.2187,42.12
Gurugram Sector 29,0,0.28,0.5,0.68,3487.99,0.1473,40,0.1085,0.274,45.44
Karol Bagh,0,0.33,0.42,0.72,4350.87,0.2112,20,0.0028,0.2869,46.22
Rohini,0,0.35,0.5,0.72,6884.44,0.3988,29,0.0338,0.3586,50.51
Mayur Vihar,1,0.35,0.55,0.7,2670.96,0.0867,15,0.3116,0.2165,41.99
Saket,0,0.25,0.35,0.65,8314.81,0.5048,64,0.274,0.4139,53.83
Mayur Vihar,0,0.35,0.55,0.7,6460.27,0.3674,54,0.0672,0.4088,53.53
Janakpuri,0,0.3,0.4,0.68,3246.38,0.1294,38,0.1786,0.2467,43.8
Mayur Vihar,0,0.35,0.55,0.7,2311.44,0.0601,68,0.1501,0.2564,44.38
Lajpat Nagar,0,0.32,0.45,0.68,1954.9,0.0337,65,0.0023,0.1781,39.69
Saket,1,0.25,0.35,0.65,4609.51,0.2303,2,0.0,0.1649,38.89
Dwarka,1,0.38,0.6,0.7,2783.2,0.0951,43,0.306,0.2178,42.07
Rohini,1,0.35,0.5,0.72,7329.62,0.4318,90,0.2417,0.3305,48.83
Dwarka,0,0.38,0.6,0.7,2864.75,0.1011,83,0.46,0.2864,46.18
Saket,0,0.25,0.35,0.65,2564.87,0.0789,89,0.1357,0.1839,40.04
Lajpat Nagar,0,0.32,0.45,0.68,4522.47,0.2239,100,0.2281,0.256,44.36
Gurugram Sector 29,0,0.28,0.5,0.68,2855.43,0.1004,7,0.1761,0.2297,42.78
Shahdara,1,0.4,0.65,0.72,4041.11,0.1882,29,0.1471,0.223,42.38
Mayur Vihar,0,0.35,0.55,0.7,6587.93,0.3769,48,0.0588,0.3922,52.53
Gurugram Sector 29,0,0.28,0.5,0.68,4266.78,0.2049,54,0.1491,0.2891,46.34
Lajpat Nagar,0,0.32,0.45,0.68,4274.76,0.2055,82,0.2815,0.2967,46.8
Connaught Place,0,0.28,0.3,0.7,4458.53,0.2192,76,0.4286,0.3149,47.89
Janakpuri,1,0.3,0.4,0.68,1725.81,0.0167,74,0.1679,0.138,37.28
Janakpuri,0,0.3,0.4,0.68,4894.75,0.2515,17,0.5019,0.3338,49.03
Rohini,0,0.35,0.5,0.72,4358.86,0.2118,71,0.1595,0.3093,47.56
Mayur Vihar,0,0.35,0.55,0.7,6288.32,0.3547,83,0.2071,0.3739,51.43
Shahdara,1,0.4,0.65,0.72,5447.46,0.2924,79,0.1146,0.2932,46.59
Gurugram Sector 29,0,0.28,0.5,0.68,3637.4,0.1583,61,0.0729,0.2331,42.99
Lajpat Nagar,1,0.32,0.45,0.68,6742.57,0.3883,10,0.4633,0.3108,47.65
Mayur Vihar,0,0.35,0.55,0.7,3476.16,0.1464,16,0.1612,0.3012,47.07
Rohini,0,0.35,0.5,0.72,4553.17,0.2262,78,0.0618,0.2797,45.78
Janakpuri,1,0.3,0.4,0.68,3444.13,0.144,91,0.5129,0.1878,40.27
Janakpuri,0,0.3,0.4,0.68,5068.9,0.2644,86,0.1492,0.2802,45.81
Mayur Vihar,0,0.35,0.55,0.7,3333.42,0.1358,45,0.1346,0.3052,47.31
Dwarka,0,0.38,0.6,0.7,9170.76,0.5682,62,0.0208,0.475,57.5
Rohini,0,0.35,0.5,0.72,11033.39,0.7062,19,0.322,0.5423,61.54
Saket,0,0.25,0.35,0.65,6228.99,0.3503,62,0.3387,0.3513,50.08
Saket,1,0.25,0.35,0.65,8696.26,0.5331,21,0.3269,0.2848,46.09
Rohini,0,0.35,0.5,0.72,1863.84,0.027,83,0.2543,0.2008,41.05
Rohini,0,0.35,0.5,0.72,1976.95,0.0353,82,0.1374,0.2407,43.44
Rohini,0,0.35,0.5,0.72,3426.24,0.1427,6,0.1593,0.2492,43.95
Janakpuri,1,0.3,0.4,0.68,4107.69,0.1932,98,0.1326,0.194,40.64
Saket,0,0.25,0.35,0.65,3644.22,0.1588,83,0.1903,0.2393,43.36
Saket,0,0.25,0.35,0.65,1770.35,0.02,40,0.2574,0.1766,39.6
